,classify
2578,1
2579,0
2580,3
2581,3
2582,2
2583,1
2584,4
2585,4
2586,1
2587,3
2588,4
2589,1
2590,1
2591,1
2592,2
2593,2
2594,2
2595,3
2596,3
2597,3
2598,1
2599,2
2600,0
2601,2
2602,1
2603,3
2604,2
2605,1
2606,2
2607,0
2608,3
2609,3
2610,1
2611,3
2612,3
2613,2
2614,3
2615,2
2616,2
2617,2
2618,0
2619,0
2620,3
2621,3
2622,1
2623,1
2624,4
2625,4
2626,3
2627,4
2628,1
2629,4
2630,3
2631,2
2632,3
2633,0
2634,3
2635,1
2636,1
2637,1
2638,3
2639,3
2640,3
2641,0
2642,4
2643,0
2644,3
2645,3
2646,3
2647,3
2648,1
2649,3
2650,1
2651,0
2652,2
2653,3
2654,3
2655,2
2656,3
2657,1
2658,2
2659,4
2660,0
2661,0
2662,2
2663,2
2664,2
2665,0
2666,2
2667,3
2668,0
2669,3
2670,3
2671,3
2672,3
2673,3
2674,2
2675,1
2676,1
2677,4
2678,3
2679,4
2680,3
2681,1
2682,2
2683,1
2684,4
2685,4
2686,1
2687,1
2688,4
2689,3
2690,4
2691,1
2692,1
2693,1
2694,2
2695,0
2696,3
2697,2
2698,3
2699,3
2700,3
2701,1
2702,1
2703,4
2704,2
2705,1
2706,4
2707,4
2708,3
2709,3
2710,1
2711,4
2712,4
2713,0
2714,3
2715,3
2716,4
2717,1
2718,0
2719,2
2720,1
2721,0
2722,1
2723,0
2724,0
2725,1
2726,1
2727,1
2728,1
2729,1
2730,1
2731,4
2732,3
2733,0
2734,3
2735,4
2736,3
2737,3
2738,2
2739,0
2740,0
2741,4
2742,2
2743,0
2744,4
2745,3
2746,3
2747,0
2748,1
2749,4
2750,3
2751,3
2752,3
2753,3
2754,3
2755,3
2756,3
2757,0
2758,3
2759,4
2760,1
2761,0
2762,0
2763,4
2764,0
2765,3
2766,3
2767,2
2768,1
2769,3
2770,3
2771,4
2772,3
2773,1
2774,2
2775,3
2776,1
2777,4
2778,0
2779,3
2780,1
2781,4
2782,4
2783,0
2784,4
2785,3
2786,2
2787,3
2788,2
2789,1
2790,1
2791,2
2792,1
2793,3
2794,2
2795,3
2796,3
2797,2
2798,3
2799,3
2800,2
2801,3
2802,3
2803,3
2804,4
2805,3
2806,4
2807,4
2808,0
2809,4
2810,3
2811,0
2812,4
2813,4
2814,2
2815,3
2816,0
2817,4
2818,2
2819,3
2820,4
2821,4
2822,3
2823,2
2824,4
2825,3
2826,3
2827,4
2828,0
2829,1
2830,3
2831,3
2832,1
2833,2
2834,3
2835,1
2836,3
2837,3
2838,2
2839,2
2840,1
2841,3
2842,3
2843,3
2844,3
2845,2
2846,4
2847,1
2848,4
2849,1
2850,2
2851,3
2852,3
2853,4
2854,2
2855,4
2856,2
2857,3
2858,3
2859,1
2860,1
2861,2
2862,0
2863,0
2864,3
2865,2
2866,2
2867,3
2868,4
2869,2
2870,4
2871,2
2872,3
2873,0
2874,3
2875,3
2876,3
2877,2
2878,0
2879,3
2880,2
2881,3
2882,3
2883,3
2884,3
2885,3
2886,1
2887,4
2888,3
2889,3
2890,4
2891,3
2892,3
2893,4
2894,1
2895,4
2896,4
2897,1
2898,4
2899,1
2900,3
2901,3
2902,3
2903,3
2904,2
2905,3
2906,0
2907,2
2908,2
2909,0
2910,1
2911,0
2912,0
2913,2
2914,0
2915,4
2916,3
2917,1
2918,3
2919,1
2920,4
2921,1
2922,3
2923,3
2924,4
2925,2
2926,2
2927,4
2928,1
2929,4
2930,0
2931,3
2932,3
2933,1
2934,2
2935,0
2936,3
2937,3
2938,4
2939,0
2940,3
2941,4
2942,1
2943,2
2944,4
2945,3
2946,3
2947,2
2948,3
2949,3
2950,2
2951,4
2952,0
2953,1
2954,3
2955,1
2956,1
2957,3
2958,2
2959,2
2960,0
2961,4
2962,4
2963,0
2964,4
2965,3
2966,0
2967,3
2968,0
2969,2
2970,2
2971,2
2972,4
2973,1
2974,4
2975,0
2976,1
2977,3
2978,3
2979,3
2980,3
2981,1
2982,3
2983,3
2984,4
2985,4
2986,1
2987,1
2988,3
2989,3
2990,3
2991,4
2992,4
2993,4
2994,1
